"ID"	"NCBI Organism Name"	"NCBI Taxonomy"	"GTDB Taxonomy"	"GTDB species representative"	"NCBI type material"
"GCA_003523185.1"	"Halieaceae bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp003523185"	"yes"	""
"GCA_003646405.1"	"Gammaproteobacteria bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus; s__Halioglobus sp003646405"	"yes"	""
"GCA_003646415.1"	"Gammaproteobacteria bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus; s__Halioglobus sp003646415"	"yes"	""
"GCA_008081075.1"	"Halieaceae bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp008081075"	"yes"	""
"GCA_009886815.1"	"Halieaceae bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815"	"yes"	""
"GCA_009937065.1"	"Gammaproteobacteria bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009937065"	"yes"	""
"GCA_009937575.1"	"Haliea sp."	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Haliea; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus; s__Halioglobus sp009937575"	"yes"	""
"GCA_011523115.1"	"Halieaceae bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp011523115"	"yes"	""
"GCA_011524755.1"	"Halieaceae bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp011524755"	"yes"	""
"GCA_012270045.1"	"Luminiphilus sp."	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp012270045"	"yes"	""
"GCA_013214285.1"	"Halioglobus sp."	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Halioglobus; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus; s__Halioglobus sp013214285"	"yes"	""
"GCA_013911345.1"	"Congregibacter sp."	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Congregibacter; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp013911345"	"yes"	""
"GCA_014652275.1"	"Halioglobus pacificus"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Halioglobus; s__Halioglobus pacificus"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus_A; s__Halioglobus_A pacificus"	"yes"	""
"GCA_902519405.1"	"uncultured Gammaproteobacteria bacterium"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__CABYJX01; s__CABYJX01 sp902519405"	"yes"	""
"GCF_000156295.1"	"marine gamma proteobacterium HTCC2148"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__; s__"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus; s__Halioglobus sp000156295"	"yes"	""
